crisis_nm,date_month,date_year,glide,url
Typhoon Matmo ,Jul,2014,TC-2014-000097-CHN,https://api.reliefweb.int/v1/disasters/15001
Typhoon Rammasun ,Jul,2014,TC-2014-000092-PHL,https://api.reliefweb.int/v1/disasters/14968
Mexico/Guatemala: Earthquake ,Jul,2014,EQ-2014-000090-MEX,https://api.reliefweb.int/v1/disasters/14957
Sudan: Floods ,Jul,2014,FL-2014-000098-SDN,https://api.reliefweb.int/v1/disasters/15031
El Salvador: Chikungunya and Dengue Outbreak ,Jul,2014,EP-2014-000081-SLV,https://api.reliefweb.int/v1/disasters/14912
Haiti: Chikungunya Outbreak ,Jul,2014,EP-2014-000082-HTI,https://api.reliefweb.int/v1/disasters/14907
Lake Chad Basin Crisis ,,2017,OT-2014-000172-CMR,https://api.reliefweb.int/v1/disasters/42879
Philippines: Floods and Landslides ,Jun,2014,FL-2014-000079-PHL,https://api.reliefweb.int/v1/disasters/14877
Sri Lanka: Floods and Landslides ,Jun,2014,FL-2014-000070-LKA,https://api.reliefweb.int/v1/disasters/14757
Somalia: Measles Outbreak ,May,2014,EP-2014-000093-SOM,https://api.reliefweb.int/v1/disasters/14971
Russian Federation: Floods ,May,2014,FL-2014-000073-RUS,https://api.reliefweb.int/v1/disasters/14784
Paraguay: Floods ,May,2014,FL-2014-000030-PRY,https://api.reliefweb.int/v1/disasters/14170
Balkans: Floods ,May,2014,FF-2014-000059-SRB ,https://api.reliefweb.int/v1/disasters/14541
South Sudan: Cholera Outbreak ,May,2014,EP-2014-000064-SSD,https://api.reliefweb.int/v1/disasters/14678
Afghanistan: Flash Floods and Landslides ,Apr,2014,FF-2014-000060-AFG,https://api.reliefweb.int/v1/disasters/14539
Tajikistan: Floods and Landslides ,Apr,2014,FL-2014-000054-TJK,https://api.reliefweb.int/v1/disasters/14518
Peru: Ubinas Volcano ,Apr,2014,VO-2014-000065-PER,https://api.reliefweb.int/v1/disasters/14103
Tanzania: Floods ,Apr,2014,FL-2014-000053-TZA,https://api.reliefweb.int/v1/disasters/14501
Chile: Wild Fire ,Apr,2014,WF-2014-000050-CHL,https://api.reliefweb.int/v1/disasters/14488
Kazakhstan: Flash Floods ,Apr,2014,FF-2014-000048-KAZ,https://api.reliefweb.int/v1/disasters/14480
Nicaragua: Earthquake ,Apr,2014,EQ-2014-000049-NIC,https://api.reliefweb.int/v1/disasters/14477
Tropical Cyclone Ita ,Apr,2014,TC-2014-000058-PNG,https://api.reliefweb.int/v1/disasters/14466
Solomon Islands: Flash Floods ,Apr,2014,FL-2014-000045-SLB,https://api.reliefweb.int/v1/disasters/14432
Chile: Earthquake ,Apr,2014,EQ-2014-000044-CHL,https://api.reliefweb.int/v1/disasters/14415
Central America: Drought ,,2017,DR-2014-000132-HND,https://api.reliefweb.int/v1/disasters/15365
Tropical Cyclone Hellen ,Mar,2014,TC-2014-000043-MDG,https://api.reliefweb.int/v1/disasters/14394
West Africa: Ebola Outbreak ,Mar,2014,EP-2014-000041-GIN,https://api.reliefweb.int/v1/disasters/14371
Fiji: Dengue Outbreak ,Mar,2014,EP-2014-000034-FJI,https://api.reliefweb.int/v1/disasters/14307
Colombia: Floods and Landslides ,Jul,2014,-,https://api.reliefweb.int/v1/disasters/14288
Pakistan: Drought ,,2017,DR-2014-000035-PAK,https://api.reliefweb.int/v1/disasters/14248
Tropical Cyclone Lusi ,Mar,2014,TC-2014-000033-VUT,https://api.reliefweb.int/v1/disasters/14249
